SIK_INVNR;KAT_NR;KUENSTLERIN;TITEL;DATIERUNG;TECHNIK;MASSE;STANDORT;ORT;STANDORT_URL;FILENAME;REPRO_NACHWEIS;JAHR;TECHNIKTHESAURUS;COPYRIGHT;SIKART_URL;FARBEN
95755;152;Eva Aeppli;Adios;1965;Öl auf Leinwand;Masse unbekannt;Werk zerstört;;;95755SC1;Foto: Heidi Meister, Paris;1965;Ölmalerei;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12874008;'333333','CCCCCC','666666','000000','999999','FFFFFF'
95756;99;Eva Aeppli;Jasmins;1959;Lithographie auf Papier, 15/50, Auflage 50, Druckerei Mourlot Paris;54 x 64 cm;Privatbesitz, seit 2004;;;95756DS1;Foto: SIK-ISEA, Zürich;1959;Lithographie;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12878351;'333333','CCCCCC','666666','999999','CCCC99','999966','666633','CC9999','996666','663333'
95757;100;Eva Aeppli;Ohne Titel;1959;Lithographie auf Papier, 34/35, Auflage 35;37,5 x 49,5 cm;Moderna Museet, Stockholm, MOM/2005/127, seit 2005;Stockholm;www.modernamuseet.se/;95757D1;Foto: Moderna Museet, Stockholm;1959;Lithographie;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12878626;'333333','CCCC99','333300','000000','CCCCCC','666666','666633','999999','999966','330000'
95758;231;Eva Aeppli;Lili und Lülü;1974;Seide, Kapok, Watte, Samt, Gesicht koloriert mit Wasserfarben, Metallstab;185 cm hoch (stehend);Privatbesitz;;;95758D1;Foto: Brutus Luginbühl, Bowil;1974;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12879310;'CCCCCC','333333','999999','FFFFFF','000000','FFFFCC','CCCC99','000033','666666','003333'
95759;238;Eva Aeppli;Les Amoureux;1988-89;Seide, Kapok, Watte, Seidengarn gestickt, Gesicht koloriert, Samt, Wolle, Baumwolle, Seidenblumen, Hut, Tasche, Werkzeug, Stuhl, Metallstäbe;135 x 95 x 63 cm;Moderna Museet, Stockholm, MOMSK 209:1-3, seit 1993;Stockholm;www.modernamuseet.se/;95759D1;Foto: Moderna Museet, Stockholm;1988;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12879350;'666666','333333','666633','330000','663333','333300','663300','000000','333366','996633'
96019;158;Eva Aeppli;Rote textile Figur;1955;Seide, Kapok, Watte, Wolle, Seidengarn gestickt, Metallstab;60 cm hoch;Werk zerstört;;;96019DS1;Foto: SIK-ISEA, Zürich;1955;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888836;'333333','666666','663333','999999','666633','CCCCCC','333300','996666','999966','CC9999'
96021;159;Eva Aeppli;Textile Figur;1956;Seide, Kapok, Watte, Wolle gestickt, Metallstab;45 cm hoch;Standort unbekannt;;;96021DS1;Foto: SIK-ISEA, Zürich;1956;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888838;'333333','999999','666666','CCCCCC','FFFFFF','999966','CCCC99','666633','996666','CC9999'
96022;160;Eva Aeppli;Textile Figur;1957;Seide, Kapok, Watte, Seidengarn gestickt, Wolle, Blütenkranz, Metallstab;120 cm hoch;Standort unbekannt;;;96022DS1;Foto: SIK-ISEA, Zürich;1957;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888839;'CCCCCC','999999','333333','666666','CCCC99','333300','FFFFFF','CC9999','999966','330000'
96023;161;Eva Aeppli;Textile Figur;1957;Seide, Kapok, Watte, Wolle, Wolle gestickt, Holzkranz mit Blumen, Metallstab;60 cm hoch;Privatbesitz;;;96023SC1;Foto: Heidi Meister, Paris;1957;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888840;'666666','CCCCCC','333333','999999','FFFFFF','000000'
96024;162;Eva Aeppli;Textile Figur;1958;Seide, Kapok, Watte, Wolle, Seidengarn gestickt, Metallstab;45 cm hoch;Privatbesitz (J);;;96024DS1;Foto: SIK-ISEA, Zürich;1958;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888841;'333333','666666','999966','666633','CCCC99','999999','996666','CCCCCC','663333','CC9999'
96025;163;Eva Aeppli;La Pleureuse;1958;Seide, Kapok, Watte, Wolle, Metallstab;60 cm hoch;Privatbesitz (S);;;96025DS1;Foto: SIK-ISEA, Zürich;1958;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888842;'333333','666666','999999','CCCCCC','666633','663333','FFFFCC','FFFFFF','999966','996666'
96026;164;Eva Aeppli;Textile Figur;1959;Seide, Kapok, Watte, Samt, Seidengarn gestickt, Metallstab;60 cm hoch;Standort unbekannt;;;96026SC1;Foto: Heidi Meister, Paris;1959;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888843;'333333','999999','666666','000000','CCCCCC','FFFFFF'
96027;165;Eva Aeppli;La Croix;1960-61;Seide, Kapok, Watte, Baumwolle, Wolle, Wolle gestickt, Holzkreuz;120 cm hoch;Privatbesitz (USA), seit 2008;;;96027SC1;Foto: Heidi Meister, Paris;1960;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888844;'CCCCCC','999999','333333','666666','000000','FFFFFF'
96028;166;Eva Aeppli;Textile Figur;1961;Seide, Kapok, Watte, Wolle, Wolle gestickt, Metallstab;50 cm hoch;Standort unbekannt;;;96028SC1;Foto: Heidi Meister, Paris;1961;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888845;'CCCCCC','999999','333333','000000','666666','FFFFFF'
96030;168;Eva Aeppli;Marcel;1965;Cashmere Pullover, Kapok, Watte;20 cm hoch;Privatbesitz;;;96030SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888851;'333333','666666','000000','999999','CCCCCC','FFFFFF'
96031;169;Eva Aeppli;Textile Figur;1965;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch;Standort unbekannt;;;96031SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888852;'333333','666666','000000','999999','CCCCCC'
96032;170;Eva Aeppli;Textile Figur;1965;Seide, Kapok, Watte, Wolle gestickt, Metallstab;120 cm hoch;Standort unbekannt;;;96032SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888853;'CCCCCC','333333','000000','999999','FFFFFF','666666'
96033;171;Eva Aeppli;Textile Figur;1965;Seide, Kapok, Watte, Wolle gestickt, Metallstab;60 cm hoch;Standort unbekannt;;;96033SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888854;'CCCCCC','333333','000000','999999','666666','FFFFFF'
96034;172;Eva Aeppli;Engelchen;1965;Seide, Kapok, Watte, Wolle, Wolle gestickt, Metallstab;100 cm hoch;Standort unbekannt;;;96034SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888855;'999999','CCCCCC','666666','333333','FFFFFF','000000'
96036;173;Eva Aeppli;Textile Figur;1965;Seide, Kapok, Watte, Wolle, Wolle und Seidengarn gestickt, Metallstab;70 cm hoch;Standort unbekannt;;;96036SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888857;'CCCCCC','999999','666666','333333','FFFFFF','000000'
96037;174;Eva Aeppli;Textile Figur;1965;Seide, Kapok, Watte, Wolle, Samt, Seidengarn gestickt, Seidenblume, Metallstab;60 cm hoch;Standort unbekannt;;;96037SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888861;'CCCCCC','333333','999999','666666','000000','FFFFFF'
96038;175;Eva Aeppli;Jacqueline und  textile Figur;1965;Seide, Kapok, Watte, Wolle, Spitzen, Samt, Seidengarn gestickt, Metallstäbe;60 bzw. 80 cm hoch;Standort unbekannt;;;96038SC1;Foto: Heidi Meister, Paris;1965;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888862;'CCCCCC','999999','FFFFFF','333333','000000','666666'
96039;176;Eva Aeppli;Kleine textile Figur;1966;Seide, Kapok, Watte, Wolle, Wolle gestickt, Metallstab;Masse unbekannt;Privatbesitz (F);;;96039DS1;Foto: SIK-ISEA, Zürich;1966;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888864;'CCCCCC','999999','333333','666666','FFFFFF','CCCC99','CC9999','CC99CC','996666','999966'
96040;178;Eva Aeppli;Die ersten vier Witwen;1967;4 Figuren: Seide, Kapok, Watte, Schleier, Metallstäbe;je ca. 180 cm hoch (stehend);Privatbesitz (D), seit 1980;;;96040D1;Foto: Vera Mertz Mercer, Omaha;1967;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888865;'000000','333333','CCCCCC','999999','666666','FFFFFF'
96041;182;Eva Aeppli;Fünf schwarze Witwen;1969;5 Figuren: Seide, Kapok, Watte, Schleier, Metallstäbe;je ca. 180 cm hoch (stehend);Museum Jean Tinguely, Basel, 011231, seit 1996;Basel;www.tinguely.ch;96041D1;Foto: Rita Newman, Wien;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888866;'FFFFFF','666666','333333','CCCCCC','000000','333366','FFCCCC','666699','999999','FFFFCC'
96043;189;Eva Aeppli;Papillon III;1969;Seide, Kapok, Watte, Metallstab;180 cm hoch;Standort unbekannt;;;96043D1;Foto: SIK-ISEA, Zürich;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888868;'FFFFFF','000000','666666','333333','CCCCCC','999999'
96044.02/03;186.02;Eva Aeppli;Textile Figur aus der <I>Groupe de 12<I>;1969-1971;Seide, Kapok, Watte, Metallstab;200 cm hoch (stehend);Kunstsammlung Beat H. Koenig;;;96044D1;Foto: Thomas Gerber, Burgdorf;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12900407;'CCCCCC','999999','663333','996666','FFFFFF','666633','996633','663300','333300','CCCCFF'
96044.03/03;186.03;Eva Aeppli;Textile Figur aus der <I>Groupe de 12<I>;1969-1971;Seide, Kapok, Watte, Metallstab;200 cm hoch (stehend);Privatbesitz (F);;;96044SC2;Foto: SIK-ISEA, Zürich;1969;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12900880;'333333','666666','999999','CCCCCC','FFFFFF','000000'
96045.01/15;190.01;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz, seit 1972;;;96045D1;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888870;'000000','CCCCCC','999999','333333','666666','FFFFFF','99CC99','99CCCC','669999','669966'
96045.02/15;190.02;Eva Aeppli;Emma;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz;;;96045D6;Foto: Rita Newman, Wien;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901708;'FFFFFF','330000','000000','666633','CCCCCC','333300','FFFFCC','996633','333333','FFCCCC'
96045.03/15;190.03;Eva Aeppli;Mautz;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz;;;96045D8;Paul F. Talman, Ueberstorf;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901710;'CCCCCC','330000','996633','000000','CCCC99','663333','CC9966','999999','CC9999','996666'
96045.04/15;190.04;Eva Aeppli;Bella;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);;;;96045D5;Foto: Rita Newman, Wien;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901711;'FFFFFF','CCCCCC','999966','330000','333333','996666','000000','CC9999','CCCC99','333300'
96045.05/15;190.05;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz;;;96045D3;Foto: Rita Newman, Wien;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901712;'FFFFFF','333300','663333','333333','CCCCCC','CCCC99','CC9966','FFFFCC','666633','996633'
96045.06/15;190.06;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Metallstab;53,5 x 21 x 33 cm;Musée d'art et d'histoire, Fribourg, seit 2004;Fribourg;www.fr.ch/mahf/fr/pub/index.htm;96045D2;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901713;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.07/15;190.07;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Privatbesitz, seit 1972;;;96045D4;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901714;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.08/15;190.08;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Privatbesitz, seit 1972;;;96045D7;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901715;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.09/15;190.09;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Musée d'art et d'histoire, Fribourg, MAHF 2005-005, seit 2001;Fribourg;www.fr.ch/mahf/fr/pub/index.htm;96045D16;Foto: Musée d'art et d'histoire, Fribourg;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901716;'CCCCCC','333333','CCCC99','999966','CC9999','663333','999999','666633','996666','333300'
96045.10/15;190.1;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Standort unbekannt;;;96045D10;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901717;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.11/15;190.11;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Standort unbekannt;;;96045D11;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901718;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.12/15;190.12;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Standort unbekannt;;;96045D12;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901719;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.13/15;190.13;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Standort unbekannt;;;96045D13;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901720;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.14/15;190.14;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Standort unbekannt;;;96045D14;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901721;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96045.15/15;190.15;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch;Standort unbekannt;;;96045D15;Foto: Vera Mertz Mercer, Omaha;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13053878;'000000','CCCCCC','999999','333333','666666','FFFFFF'
96046;192;Eva Aeppli;Textile Figur;1970;Seide, Kapok, Watte, Samt, Metallstab;192 cm hoch (stehend);Privatbesitz;;;96046DS1;Foto: SIK-ISEA, Zürich (Philipp Hitz);1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888871;'FFFFFF','CCCCCC','333300','333333','000000','999999','999966','003300','666633','CCCC99'
96047;193;Eva Aeppli;Vera;1970;Seide, Kapok, Watte, Seidengarn gestickt, Samt, Seidenrosen, Metallstab;185 cm hoch (stehend);Karl-Ernst-Osthaus-Museum der Stadt Hagen, seit 1971;Hagen;www.keom.de/;96047SC1;Foto: Heidi Meister, Paris;1970;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888872;'333333','CCCCCC','666666','999999','000000','FFFFFF'
96049;194;Eva Aeppli;Céline;1971;Seide, Kapok, Watte, Seidengarn gestickt, Seidenrosen, Chorhemd, Metallstab;185 cm hoch (stehend);Privatbesitz (GB), seit 1973;;;96049SC1;Foto: Heidi Meister, Paris;1971;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888875;'666666','CCCCCC','333333','999999','FFFFFF','000000'
96050;195;Eva Aeppli;Textile Figur;1971;Seide, Kapok, Watte, Gesicht mit Wasserfarben koloriert, Metallstab;Gesamthöhe 200 cm;Standort unbekannt;;;96050DS1;Foto: SIK-ISEA, Zürich;1971;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888877;'666666','333333','999999','CCCCCC','FFFFFF','666633','663333','999966','996666','663366'
96051;199;Eva Aeppli;Pélagie;1972;Seide, Kapok, Watte, Chorhemd, Metallstab;185 cm hoch (stehend);Privatbesitz (F);;;96051SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888879;'666666','333333','000000','999999','CCCCCC','FFFFFF'
96052.01/03;200.01;Eva Aeppli;Textile Figur aus der <I>Groupe de 3<I>;1972;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch;Privatbesitz;;;96052SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888880;'CCCCCC','333333','666666','000000','999999','FFFFFF'
96052.02/03;200.02;Eva Aeppli;Textile Figur aus der <I>Groupe de 3<I>;1972;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch (stehend);Privatbesitz;;;96052D1;Foto: Rita Newman, Wien;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13046616;'FFFFFF','333333','666666','663333','666633','996666','000000','CCCCCC','333300','330000'
96052.03/03;200.03;Eva Aeppli;Textile Figur aus der <I>Groupe de 3<I>;1972;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch;Standort unbekannt;;;96052D2;Foto: SIK-ISEA, Zürich;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=13046617;'FFFFFF','000000','666666','333333','CCCCCC','999999'
96053;201;Eva Aeppli;Josepha;1972;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch (stehend);Privatbesitz (GB);;;96053D1;Foto: Vera Mertz Mercer, Omaha;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888881;'000000','333333','666666','999999','CCCCCC','FFFFFF'
96054;202;Eva Aeppli;Anna;1972;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz, seit 1974;;;96054D1;Foto: Stefanie Dathe;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888882;'333333','000000','99CCCC','9999CC','663333','CCCCFF','330000','666666','99CCFF','669999'
96055;203;Eva Aeppli;Ida;1972;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Standort unbekannt;;;96055SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888883;'000000','333333','CCCCCC','999999','666666','FFFFFF'
96056;204;Eva Aeppli;Célestine I;1972;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch (stehend);Privatbesitz;;;96056D1;Foto: Rita Newman, Wien;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888884;'CCCCCC','FFFFFF','003333','000033','CCCCFF','000000','FFCCCC','CCCC99','CCFFFF','003366'
96057;213;Eva Aeppli;Denise;1972;Seide, Kapok, Watte, Seidengarn gestickt, Seidenblumen, Chorhemd, Metallstab;Gesamthöhe 185 cm;Standort unbekannt;;;96057DS1;Foto: SIK-ISEA, Zürich;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888885;'CCCCCC','999999','666666','333333','CC9999','CCCC99','996666','CC99CC','996699','999966'
96058;205;Eva Aeppli;Lidwine;1972;Seide, Kapok, Watte, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz (F);;;96058SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888886;'333333','666666','000000','CCCCCC','999999','FFFFFF'
96059;206;Eva Aeppli;Ohne Titel;1972;Seide, Kapok, Watte, Seidengarn gestickt, Metallstab;Masse unbekannt;Standort unbekannt;;;96059D1;Foto: Vera Mertz Mercer, Omaha;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888887;'CCCCCC','FFFFFF','999999','666666','333333','000000','CCFFCC'
96060;207;Eva Aeppli;Blind Man;1972;Seide, Kapok, Watte, Samt, Metallstab;200 cm hoch (stehend);Moderna Museet, Stockholm, MOMSK 201, seit 1993;Stockholm;www.modernamuseet.se/;96060D1;Foto: Moderna Museet, Stockholm;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888888;'333333','663333','000000','333300','CC9966','330000','996666','666633','999966','330033'
96061;208;Eva Aeppli;Karl;1972;Seide, Kapok, Watte, Samt, Metallstab;Gesamthöhe 185 cm;Standort unbekannt;;;96061SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888889;'666666','333333','000000','999999','CCCCCC','FFFFFF'
96062;209;Eva Aeppli;Maximilian;1972;Seide, Kapok, Watte, Samt, Metallstab;190 cm hoch (stehend);Privatbesitz (I);;;96062D1;Foto: Rita Newman, Wien;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888892;'CCCCCC','FFFFFF','000000','FFCCCC','333333','663333','FFFFCC','666633','333300','CCCC99'
96063;210;Eva Aeppli;Augusta;1972;Seide, Kapok, Watte, Seidenrose, Samt, Seidengarn gestickt, Metallstab;ca. 200 cm hoch (stehend);Moderna Museet, Stockholm, MOMSK 202, seit 1993;Stockholm;www.modernamuseet.se/;96063D1;Foto: Moderna Museet, Stockholm;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888898;'999999','CCCCCC','666666','663333','333333','660033','669999','666699','99CCCC','9999CC'
96064;216;Eva Aeppli;Ulrike;1972;Seide, Kapok, Watte, Metallstab;185 cm hoch;Standort unbekannt;;;96064D1;Foto: SIK-ISEA, Zürich;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888899;'FFFFFF','000000','666666','333333','CCCCCC','999999'
96065;212;Eva Aeppli;Xenobie;1972;Seide, Kapok, Watte, Samt, Metallstab;180 cm hoch (stehend);Nationale Suisse, Basel, 704, seit 1985;Basel;www.nationalesuisse.ch/;96065D1;Foto: Rita Newman, Wien;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888901;'FFFFFF','333333','000033','000000','003333','666666','CCCCCC','333366','FFFFCC','999966'
96066;217;Eva Aeppli;Honorine;1972;Seide, Kapok, Watte, Metallstab;185 cm hoch;Standort unbekannt;;;96066D1;Foto: SIK-ISEA, Zürich;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888903;'FFFFFF','000000','666666','333333','CCCCCC','999999'
96067;196;Eva Aeppli;Textile Figur;1971;Seide, Kapok, Watte, Seidengarn gestickt, Seidenblumen, Metallstab;180 cm hoch (stehend);Werk zerstört;;;96067CE1;Foto: Leonardo Bezzola, Bätterkinden;1971;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888906;'CCCCCC','CCCC99','999999','999966','CCCC66','CC9966','999933','CC9999','FFCCCC','333333'
96068;197;Eva Aeppli;Amanda;1971;Seide, Kapok, Watte, Samt, Seidengarn gestickt,  Metallstab;182 cm hoch (stehend);Olbricht Collection;Essen;;96068SC1;Foto: Leonardo Bezzola, Bätterkinden;1971;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888908;'FFFFFF','333333','CCCCCC','999999','666666','000000'
96069;214;Eva Aeppli;Apolline;1972-73;Seide, Kapok, Watte, Seidengarn gestickt, Samt, Seidenrosen, Metallstab;180 cm hoch (stehend);Standort unbekannt;;;96069SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12888913;'000000','333333','999999','666666','CCCCCC','FFFFFF'
96331;215;Eva Aeppli;Olga;1972-73;Seide, Kapok, Watte, Seidenblumen, Chorhemd, Metallstab;185 cm hoch (stehend);Privatbesitz;;;96331SC1;Foto: Heidi Meister, Paris;1972;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901884;'333333','666666','CCCCCC','000000','999999','FFFFFF'
96332;218;Eva Aeppli;Yvette;1973;Seide, Kapok, Watte, Seidenrosen, Samt, Metallstab;185 cm hoch (stehend);Privatbesitz;;;96332D1;Foto: Vera Mertz Mercer, Omaha;1973;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901886;'CCCCCC','003300','333333','999999','666666','333300','663333','003333','99CCCC','669999'
96333;219;Eva Aeppli;Neuf Ans;1973;Seide, Kapok, Watte, Seidengarn gestickt, Samt, Seidenrosen, Chorhemd, Metallstab;127 cm hoch (stehend);Garden of the Zodiac Old Market Omaha;Omaha;;96333D1;Foto: Vera Mertz Mercer, Omaha;1973;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901887;'333333','666666','336666','FFFFFF','336633','CCCCCC','FFCCCC','666633','CCCC99','CC9999'
96334;220;Eva Aeppli;Lydia;1973;Seide, Kapok, Watte, Seidengarn gestickt, Wolle, Seidenblume, Chorhemd, Metallstab;185 cm hoch (stehend);Privatbesitz, seit 1981;;;96334D1;Foto: Vera Mertz Mercer, Omaha;1973;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901888;'999999','CCCCCC','99CCCC','000000','333333','996666','CC9999','9999CC','666666','663333'
96335;221;Eva Aeppli;Nena;1973;Seide, Kapok, Watte, Seidengarn gestickt, Wolle, Chorhemd, Baumwolle, Metallstab;168 cm hoch (stehend);Garden of the Zodiac Old Market Omaha, seit 1999;Omaha;;96335D1;Foto: Antonio Ruffaldi Santori;1973;Plastik;Copyright: Eva Aeppli;http://www.sikart.ch/werke.aspx?id=12901889;'CCCCCC','666633','999999','996633','FFFFCC','FFFFFF','CCCC99','663300','999966','663333'
